model_feature,mean_abs_shap
age,0.4147128933740088
time_in_hospital,0.26317237105192043
level1_diag1,0.22283801796459224
A1Cresult,0.20382392883298656
race,0.17061385551152025
admission_type_id,0.16612019073405576
gender,0.10748429536590583
number_diagnoses,0.096686335068775
nummed,0.09646115491144408
discharge_disposition_id,0.09331879905816094
num_procedures,0.09047502379089815
admission_source_id,0.08317373969825204
metformin,0.06235604223888669
pioglitazone,0.05142021987320411
glimepiride,0.0473904538271719
rosiglitazone,0.046944067815584856
num_lab_procedures,0.043611336998070314
glyburide,0.04202946388945112
glipizide,0.03917444721505737
number_diagnoses|time_in_hospital,0.035580829551638306
max_glu_serum,0.02387971326259116
time_in_hospital|num_lab_procedures,0.018907715927668097
num_medications|num_lab_procedures,0.018354537826514573
number_inpatient_log1p,0.018117224929863812
change|num_medications,0.014446716824108242
diabetesMed,0.014336732415769096
age|number_diagnoses,0.014011715785137508
num_medications|time_in_hospital_log,0.012077236033963335
service_utilization_log1p,0.011730422818588628
num_medications|num_procedures_log1p,0.009188936686037543
num_medications,0.008706558710789496
num_medications|numchange_log1p,0.00827556592955763
nateglinide,0.006773307685198425
numchange,0.006150493650311386
glyburide-metformin,0.005976365979692913
num_medications|number_diagnoses,0.005948403934242503
insulin,0.004438679902932918
change,0.003347685919443456
number_emergency_log1p,0.0029204341700051237
acarbose,0.0020121513592578485
number_outpatient_log1p,0.0011141356118651896
chlorpropamide,0.0003853630632896872
tolbutamide,8.372742786513704e-05
tolazamide,4.977747393893156e-05
glipizide-metformin,3.1334094023802716e-05
troglitazone,5.461401083464913e-06
acetohexamide,0.0
repaglinide,0.0
metformin-rosiglitazone,0.0
metformin-pioglitazone,0.0
glimepiride-pioglitazone,0.0
miglitol,0.0
