attribute,group,n,positives,prevalence,pr_auc,roc_auc,brier,precision,recall_tpr,fpr,specificity,predicted_positive_rate,tp,fp,fn,tn,small_sample_caution
race,AfricanAmerican,2114,170,0.0804162724692526,0.10443883832395823,0.5642187121762285,0.324717843002075,0.125,0.0058823529411764705,0.00360082304526749,0.9963991769547325,0.003784295175023652,1,7,169,1937,False
race,Asian,92,7,0.07608695652173914,0.11671693189572377,0.5983193277310924,0.19164416955325347,0.0,0.0,0.0,1.0,0.0,0,0,7,85,True
race,Caucasian,8708,750,0.08612769866789159,0.11079849671389295,0.5666695149535059,0.41110271123672215,0.15946843853820597,0.064,0.031791907514450865,0.9682080924855492,0.03456591639871383,48,253,702,7705,False
race,Hispanic,237,14,0.05907172995780591,0.07327377485837745,0.4967969250480461,0.19665855510264305,0.0,0.0,0.0,1.0,0.0,0,0,14,223,True
race,Other,180,15,0.08333333333333333,0.11923045889450501,0.5927272727272728,0.21466266550223972,0.0,0.0,0.0,1.0,0.0,0,0,15,165,True
gender,Female,6082,526,0.0864847089773101,0.11401000638285075,0.5693745260835407,0.4060036107768311,0.16205533596837945,0.0779467680608365,0.03815694744420446,0.9618430525557955,0.04159815850049326,41,212,485,5344,False
gender,Male,5249,430,0.08192036578395885,0.10144466821074946,0.5637249839540192,0.3619547703866841,0.14285714285714285,0.018604651162790697,0.009960572732932143,0.9900394272670678,0.010668698799771385,8,48,422,4771,False
age,[0-10),13,0,0.0,,,0.30054498878696617,0.0,0.0,0.0,1.0,0.0,0,0,0,13,True
age,[10-20),62,2,0.03225806451612903,0.05048076923076923,0.5416666666666666,0.24639675942621428,0.0,0.0,0.0,1.0,0.0,0,0,2,60,True
age,[20-30),163,9,0.05521472392638037,0.06606700455746678,0.5274170274170273,0.28332590725592205,0.0,0.0,0.0,1.0,0.0,0,0,9,154,True
age,[30-40),449,29,0.0645879732739421,0.12208974432869504,0.5776683087027915,0.31669706837960615,1.0,0.034482758620689655,0.0,1.0,0.0022271714922048997,1,0,28,420,True
age,[40-50),1089,83,0.07621671258034894,0.10336849475331279,0.5589475197010707,0.3189788624959844,0.25,0.012048192771084338,0.002982107355864811,0.9970178926441352,0.0036730945821854912,1,3,82,1003,False
age,[50-60),1961,124,0.06323304436511984,0.07717718254256513,0.5648234323142571,0.3331855163787793,0.058823529411764705,0.008064516129032258,0.008709853021230268,0.9912901469787697,0.008669046404895462,1,16,123,1821,False
age,[60-70),2493,212,0.08503810669875651,0.10564475442289792,0.5314885890829081,0.3956779667580836,0.1388888888888889,0.04716981132075472,0.027181060938185005,0.972818939061815,0.02888086642599278,10,62,202,2219,False
age,[70-80),2910,283,0.09725085910652921,0.12662714232919298,0.5729909972681086,0.4285573982111905,0.1510791366906475,0.07420494699646643,0.044918157594213935,0.9550818424057861,0.04776632302405498,21,118,262,2509,False
age,[80-90),1909,191,0.1000523834468308,0.11893052894333679,0.5468522389970073,0.43358883684033583,0.19736842105263158,0.07853403141361257,0.03550640279394645,0.9644935972060535,0.03981141959140912,15,61,176,1657,False
age,[90-100),282,23,0.08156028368794327,0.07894823720163303,0.48699009568574786,0.35339961579076784,0.0,0.0,0.0,1.0,0.0,0,0,23,259,True
