raw_feature,mean_abs_grouped_shap
admission_source_id,0.31515095
number_inpatient,0.2963547
medical_specialty,0.274381
payer_code,0.20242386
insulin,0.19110696
glipizide,0.16338904
race,0.15013425
num_medications,0.09630559
age,0.092869446
metformin,0.08885585
A1Cresult,0.067501426
number_diagnoses,0.06536482
acarbose,0.062678285
time_in_hospital,0.058251347
max_glu_serum,0.05597644
num_lab_procedures,0.052160203
diabetesMed,0.05054119
glyburide,0.04697412
pioglitazone,0.036260806
rosiglitazone,0.03516317
gender,0.032946166
number_outpatient,0.029995717
nateglinide,0.028771292
num_procedures,0.028009048
number_emergency,0.026365338
glimepiride,0.024621468
admission_type_id,0.020791171
has_inpatient_history,0.01986636
repaglinide,0.017478548
change,0.016093152
glyburide-metformin,0.014073454
has_emergency_history,0.003304947
has_outpatient_history,0.003201512
chlorpropamide,3.603892e-05
tolazamide,1.213897e-06
miglitol,1.0857997e-06
acetohexamide,0.0
tolbutamide,0.0
examide,0.0
troglitazone,0.0
citoglipton,0.0
metformin-pioglitazone,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
glipizide-metformin,0.0
