attribute,group,n,positives,prevalence,pr_auc,roc_auc,brier,precision,recall_tpr,fpr,specificity,predicted_positive_rate,tp,fp,fn,tn,small_sample_caution
race,AfricanAmerican,3972,487,0.12260825780463243,0.19838166703242222,0.6322013675505761,0.10549388266124257,0.19705882352941176,0.4127310061601643,0.23500717360114778,0.7649928263988522,0.256797583081571,201,819,286,2666,False
race,Asian,120,9,0.075,0.3746525371525371,0.7747747747747747,0.06521048506475234,0.19047619047619047,0.4444444444444444,0.15315315315315314,0.8468468468468469,0.175,4,17,5,94,True
race,Caucasian,15034,1718,0.11427431156046296,0.18646728988552497,0.6276453335785881,0.09969314469796126,0.17777777777777778,0.3818393480791618,0.2278462000600781,0.772153799939922,0.24544366103498735,656,3034,1062,10282,False
race,Hispanic,425,44,0.10352941176470588,0.22878766132176534,0.7047244094488189,0.08925979070047009,0.20388349514563106,0.4772727272727273,0.2152230971128609,0.7847769028871391,0.24235294117647058,21,82,23,299,False
race,Missing,475,47,0.09894736842105263,0.16307748523269772,0.6026546033008551,0.08787587646742905,0.20930232558139536,0.19148936170212766,0.0794392523364486,0.9205607476635514,0.09052631578947369,9,34,38,394,False
race,Other,327,29,0.08868501529051988,0.2106650486496135,0.6798194862300393,0.07960928324609387,0.1917808219178082,0.4827586206896552,0.19798657718120805,0.802013422818792,0.22324159021406728,14,59,15,239,True
gender,Female,11054,1269,0.11480007237199204,0.19238646210767327,0.6360509423849969,0.09974352535161445,0.18536404160475484,0.39322301024428685,0.22411854879918242,0.7758814512008175,0.24353175321150713,499,2193,770,7592,False
gender,Male,9298,1065,0.11454076145407614,0.18557281583485297,0.626021239384157,0.09988974513967086,0.17980513728963685,0.3812206572769953,0.22494837847686142,0.7750516215231386,0.24284792428479243,406,1852,659,6381,False
gender,Unknown/Invalid,1,0,0.0,,,0.0026059731709229816,0.0,0.0,0.0,1.0,0.0,0,0,0,1,True
age,[0-10),25,2,0.08,0.5909090909090909,0.8043478260869565,0.07152110585858268,0.0,0.0,0.0,1.0,0.0,0,0,2,23,True
age,[10-20),130,4,0.03076923076923077,0.05789168198460602,0.6448412698412698,0.035505540263418185,0.0,0.0,0.1111111111111111,0.8888888888888888,0.1076923076923077,0,14,4,112,True
age,[20-30),324,49,0.15123456790123457,0.37415091127169353,0.786048237476809,0.11207942841265571,0.3238095238095238,0.6938775510204082,0.2581818181818182,0.7418181818181818,0.32407407407407407,34,71,15,204,False
age,[30-40),762,89,0.1167979002624672,0.24199855886433536,0.7187004357480341,0.09762428493947847,0.22285714285714286,0.43820224719101125,0.20208023774145617,0.7979197622585439,0.22965879265091863,39,136,50,537,False
age,[40-50),1979,228,0.11520970186963113,0.19869174224596292,0.6397221637760879,0.10061552312043993,0.20824742268041238,0.44298245614035087,0.2193032552826956,0.7806967447173044,0.2450732693279434,101,384,127,1367,False
age,[50-60),3515,356,0.10128022759601707,0.19417290111127408,0.6562238796945414,0.08845380803864446,0.19968553459119498,0.35674157303370785,0.1611269389047167,0.8388730610952834,0.18093883357041252,127,509,229,2650,False
age,[60-70),4380,484,0.11050228310502283,0.16453646734873972,0.6039068996385358,0.09824848865191392,0.166497461928934,0.33884297520661155,0.21072895277207393,0.7892710472279261,0.22488584474885845,164,821,320,3075,False
age,[70-80),5245,610,0.11630123927550047,0.1748112679606053,0.6002436910888288,0.10260641663064403,0.15618521078092606,0.3704918032786885,0.2634304207119741,0.7365695792880259,0.27588179218303144,226,1221,384,3414,False
age,[80-90),3440,440,0.12790697674418605,0.21264763980181658,0.622989393939394,0.10896159998580292,0.1940755873340143,0.4318181818181818,0.263,0.737,0.2845930232558139,190,789,250,2211,False
age,[90-100),553,72,0.1301989150090416,0.23985841250247417,0.612006237006237,0.1100813792456164,0.1935483870967742,0.3333333333333333,0.2079002079002079,0.7920997920997921,0.22423146473779385,24,100,48,381,False
